,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
254,464300.213135,5933136.121979,1626.914917,2
255,464319.428955,5933127.633942,1627.610352,2
256,464398.031738,5933095.769714,1630.614502,2
257,464549.994141,5933035.287445,1636.485107,2
258,464661.577881,5932995.220978,1641.038696,2
259,464743.911865,5932961.76062,1644.180786,2
260,464845.726074,5932919.472214,1648.015381,2
261,464850.36792,5932923.870224,1655.894165,2
262,464847.471924,5932925.188873,1655.925659,2
263,464794.171631,5932949.59877,1656.684692,2
264,464717.305908,5932984.800873,1657.779419,2
265,464659.229736,5933010.923889,1658.576172,2
266,464595.070557,5933036.746338,1659.262695,2
267,464409.292969,5933119.61557,1661.767212,2
268,464345.08667,5933148.742432,1662.66394,2
269,464297.52124,5933175.901581,1663.68457,2
270,464263.000977,5933197.348053,1664.536011,2
271,464261.169922,5933198.562775,1664.65564,2
272,464246.888672,5933208.039001,1665.589111,2
273,464209.609863,5933232.047943,1667.990356,2
274,464206.42749,5933233.911194,1668.014648,2
275,464116.151611,5933299.918213,1668.876587,2
276,464055.137939,5933346.3974,1669.483521,2
277,464031.29541,5933369.036316,1669.779297,2
278,464010.210449,5933390.074707,1670.054199,2
279,463954.861816,5933446.530029,1671.575073,2
280,463952.866211,5933448.56543,1671.629883,2
281,463894.289062,5933525.571106,1673.984009,2
282,463823.405029,5933620.612305,1676.912964,2
283,463787.705811,5933667.464172,1678.34436,2
284,463716.197998,5933771.734131,1681.661133,2
285,463646.033447,5933880.47937,1685.193237,2
286,463561.598022,5933992.438232,1680.906982,2
287,463449.645874,5934141.192383,1675.224365,2
288,463286.335571,5934367.267456,1666.953003,2
289,463215.123169,5934449.731201,1663.314087,2
290,463215.056885,5934449.809204,1663.311401,2
291,463192.019775,5934480.779907,1662.344482,2
292,463160.665283,5934516.161011,1661.045898,2
293,463111.396851,5934574.647217,1658.998169,2
294,463094.096924,5934597.850586,1659.494751,2
295,463051.85376,5934639.001953,1660.261963,2
296,462980.471069,5934716.656128,1661.791504,2
297,462975.782715,5934721.75708,1661.891968,2
298,462950.186157,5934749.834106,1662.551392,2
299,462830.848877,5934853.526611,1664.645752,2
300,462815.568115,5934866.803955,1664.91394,2
301,462789.212769,5934888.232422,1665.323486,2
302,462709.193726,5934955.17749,1666.634766,2
303,462680.570557,5934980.288574,1667.145752,2
304,462563.136475,5935077.739014,1669.041504,2
305,462533.919189,5935104.933594,1669.619385,2
306,462491.534241,5935142.02832,1670.372803,2
307,462466.157654,5935164.237549,1670.823853,2
308,462425.097717,5935204.360596,1673.30249,2
309,462367.548096,5935273.876465,1677.52417,2
310,462316.560608,5935335.586914,1681.27124,2
311,462269.843506,5935409.883057,1685.704224,2
312,462255.464172,5935434.946045,1687.192261,2
313,462242.888733,5935463.453613,1688.864624,2
314,461615.997171,5934300.602905,1630.864502,3
315,461659.773735,5934204.210327,1626.082275,3
316,461706.163872,5934106.837402,1621.217529,3
317,461731.976295,5934056.64978,1618.680298,3
318,461779.868164,5933974.941284,1614.457764,3
319,461787.911911,5933961.218384,1613.748535,3
320,461833.778519,5933898.140991,1610.349365,3
321,461906.387054,5933802.442383,1605.145142,3
322,461945.645355,5933764.061035,1602.899048,3
323,462006.434753,5933700.530334,1599.246948,3
324,462012.125122,5933695.425659,1598.940918,3
325,462081.470734,5933633.319946,1595.43335,3
326,462094.573303,5933621.656128,1594.92334,3
327,462110.812866,5933609.654968,1594.358643,3
328,462139.302612,5933588.507324,1593.027344,3
329,462154.933594,5933578.160095,1592.325562,3
330,462172.471802,5933566.550537,1591.538208,3
331,462234.902649,5933518.054077,1588.571899,3
332,462265.284668,5933498.665527,1587.224365,3
333,462328.699341,5933456.98761,1584.384033,3
334,462375.234863,5933426.041199,1582.291504,3
335,462432.309143,5933391.886963,1579.81189,3
336,462484.935913,5933360.635742,1577.530762,3
337,462515.195312,5933341.855469,1576.200806,3
338,462583.647034,5933301.454041,1573.239502,3
339,462612.349487,5933283.461792,1571.973755,3
340,462661.510864,5933253.573608,1569.827148,3
341,462729.533691,5933210.897125,1566.826782,3
342,462732.577271,5933208.899475,1566.690552,3
343,462735.067627,5933207.304382,1566.579956,3
344,462831.888184,5933143.116913,1562.230835,3
345,462832.806641,5933142.494781,1562.189331,3
346,462848.149292,5933132.017792,1562.138916,3
347,462865.577637,5933119.639038,1562.083374,3
348,462962.196533,5933050.289276,1561.777954,3
349,462965.921875,5933047.605133,1561.841553,3
350,462982.920776,5933034.763062,1562.129517,3
351,462998.553833,5933022.837006,1562.393799,3
352,463064.634888,5932971.747223,1563.508057,3
353,463085.980103,5932954.313828,1563.863892,3
354,463139.098022,5932911.988968,1564.75415,3
355,463177.831177,5932879.789322,1565.397583,3
356,463234.040039,5932832.711975,1566.329834,3
357,463240.012817,5932827.489265,1566.427979,3
358,463245.118652,5932823.221657,1566.512695,3
359,463307.049927,5932771.630962,1567.541016,3
360,463330.974487,5932752.383522,1567.941284,3
361,463375.381592,5932717.009699,1568.685547,3
362,463393.981323,5932701.971186,1568.996338,3
363,463438.815796,5932668.223331,1569.756226,3
364,463456.361694,5932655.619698,1570.056152,3
365,463469.010498,5932646.466843,1570.272095,3
366,463531.088013,5932603.630287,1571.340942,3
367,463531.699585,5932603.208542,1571.365479,3
368,463571.684204,5932576.668457,1572.963379,3
369,463669.275879,5932517.45311,1576.807251,3
370,463727.307861,5932487.516724,1579.039917,3
371,463781.522705,5932464.133453,1581.079468,3
372,463815.949463,5932450.172089,1582.365723,3
373,463826.787109,5932445.776642,1582.770508,3
374,463879.164551,5932424.474304,1584.028809,3
375,463958.778809,5932396.267151,1585.879883,3
376,464072.941162,5932363.597565,1588.419922,3
377,464132.957764,5932346.948181,1589.747437,3
378,464195.019043,5932331.59021,1591.092896,3
379,464329.095703,5932302.855621,1593.934326,3
380,464388.073242,5932291.006897,1595.172485,3
381,464457.736816,5932278.900879,1596.607178,3
382,464463.492676,5932277.90802,1596.876831,3
383,464558.473633,5932261.050049,1601.34375,3
384,464657.743164,5932243.642853,1609.90271,3
385,464704.92334,5932235.369873,1613.970581,3
386,464742.407227,5932230.219666,1617.165894,3
387,464831.38916,5932218.164764,1626.279419,3
388,464897.168457,5932206.595337,1632.976318,3
389,465035.181152,5932174.200928,1646.903687,3
390,465093.696045,5932160.815125,1652.813965,3
391,465197.365967,5932128.030151,1663.147461,3
